3?8-32 or 0.3750-32 UNEF CLASS 3,3?8-32,0.3750-32,UNEF,3A,0,0.375,0.369,0,0.3547,0.3522,0.0025,0.3378,3B,0.341,0.3469,0.3547,0.358,0.0033,0.375
7?16-14 or 0.4375-14 UNC CLASS 1,7?16-14,0.4375-14,UNC,1A,0.0014,0.4361,0.4206,0,0.3897,0.3826,0.0071,0.351,1B,0.36,0.376,0.3911,0.4003,0.0092,0.4375
7?16-14 or 0.4375-14 UNC CLASS 2,7?16-14,0.4375-14,UNC,2A,0.0014,0.4361,0.4258,0.4206,0.3897,0.385,0.004713,0.351,2B,0.36,0.376,0.3911,0.3972,0.0061,0.4375
7?16-14 or 0.4375-14 UNC CLASS 3,7?16-14,0.4375-14,UNC,3A,0,0.4375,0.4272,0,0.3911,0.3876,0.0035,0.3524,3B,0.36,0.3717,0.3911,0.3957,0.0046,0.4375
7?16-16 or 0.4375-16 UN CLASS 2,7?16-16,0.4375-16,UN,2A,0.0014,0.4361,0.4267,0,0.3955,0.3909,0.004626,0.3617,2B,0.37,0.384,0.3969,0.4029,0.006,0.4375
7?16-16 or 0.4375-16 UN CLASS 3,7?16-16,0.4375-16,UN,3A,0,0.4375,0.4281,0,0.3969,0.3934,0.0035,0.3631,3B,0.37,0.38,0.3969,0.4014,0.0045,0.4375
7?16-20 or 0.4375-20 UNF CLASS 1,7?16-20,0.4375-20,UNF,1A,0.0013,0.4362,0.424,0,0.4037,0.3974,0.0063,0.3767,1B,0.383,0.395,0.405,0.4131,0.0081,0.4375
7?16-20 or 0.4375-20 UNF CLASS 2,7?16-20,0.4375-20,UNF,2A,0.0013,0.4362,0.4281,0,0.4037,0.3995,0.004167,0.3767,2B,0.383,0.395,0.405,0.4104,0.0054,0.4375
7?16-20 or 0.4375-20 UNF CLASS 3,7?16-20,0.4375-20,UNF,3A,0,0.4375,0.4294,0,0.405,0.4019,0.0031,0.378,3B,0.383,0.3916,0.405,0.4091,0.0041,0.4375
7?16-28 or 0.4375-28 UNEF CLASS 2,7?16-28,0.4375-28,UNEF,2A,0.0011,0.4364,0.4299,0,0.4132,0.4096,0.003616,0.3939,2B,0.399,0.407,0.4143,0.419,0.0047,0.4375
7?16-28 or 0.4375-28 UNEF CLASS 3,7?16-28,0.4375-28,UNEF,3A,0,0.4375,0.431,0,0.4143,0.4116,0.0027,0.395,3B,0.399,0.4051,0.4143,0.4178,0.0035,0.4375
7?16-32 or 0.4375-32 UN CLASS 2,7?16-32,0.4375-32,UN,2A,0.001,0.4365,0.4305,0,0.4162,0.4128,0.003423,0.3993,2B,0.404,0.411,0.4172,0.4216,0.0044,0.4375
7?16-32 or 0.4375-32 UN CLASS 3,7?16-32,0.4375-32,UN,3A,0,0.4375,0.4315,0,0.4172,0.4146,0.0026,0.4003,3B,0.404,0.4094,0.4172,0.4205,0.0033,0.4375
